[val-183/1000] [acc-0.8234, loss-0.0551] [1208/1467]
[train-184/1000] [acc-0.9993, loss-0.0002] [4439/4442]
[val-184/1000] [acc-0.8405, loss-0.0532] [1233/1467]
[train-185/1000] [acc-1.0000, loss-0.0001] [4442/4442]
[val-185/1000] [acc-0.8412, loss-0.0516] [1234/1467]
[train-186/1000] [acc-0.9995, loss-0.0002] [4440/4442]
[val-186/1000] [acc-0.8309, loss-0.0530] [1219/1467]
[train-187/1000] [acc-0.9991, loss-0.0002] [4438/4442]
[val-187/1000] [acc-0.8241, loss-0.0561] [1209/1467]
[train-188/1000] [acc-0.9993, loss-0.0001] [4439/4442]
[val-188/1000] [acc-0.8398, loss-0.0545] [1232/1467]
[train-189/1000] [acc-0.9993, loss-0.0002] [4439/4442]
[val-189/1000] [acc-0.8289, loss-0.0551] [1216/1467]
[train-190/1000] [acc-0.9993, loss-0.0001] [4439/4442]
[val-190/1000] [acc-0.8337, loss-0.0543] [1223/1467]
[train-191/1000] [acc-0.9993, loss-0.0001] [4439/4442]
[val-191/1000] [acc-0.8384, loss-0.0542] [1230/1467]
[train-192/1000] [acc-0.9995, loss-0.0001] [4440/4442]
[val-192/1000] [acc-0.8384, loss-0.0546] [1230/1467]
[train-193/1000] [acc-0.9993, loss-0.0001] [4439/4442]
[val-193/1000] [acc-0.8378, loss-0.0523] [1229/1467]
[train-194/1000] [acc-0.9998, loss-0.0001] [4441/4442]
[val-194/1000] [acc-0.8344, loss-0.0510] [1224/1467]
[train-195/1000] [acc-0.9995, loss-0.0002] [4440/4442]
[val-195/1000] [acc-0.8384, loss-0.0538] [1230/1467]
[train-196/1000] [acc-0.9998, loss-0.0001] [4441/4442]
[val-196/1000] [acc-0.8303, loss-0.0523] [1218/1467]
[train-197/1000] [acc-0.9998, loss-0.0001] [4441/4442]
[val-197/1000] [acc-0.8344, loss-0.0532] [1224/1467]
[train-198/1000] [acc-0.9993, loss-0.0001] [4439/4442]
[val-198/1000] [acc-0.8234, loss-0.0528] [1208/1467]
[train-199/1000] [acc-0.9995, loss-0.0002] [4440/4442]
[val-199/1000] [acc-0.8241, loss-0.0562] [1209/1467]
[train-200/1000] [acc-0.9989, loss-0.0002] [4437/4442]
[val-200/1000] [acc-0.8330, loss-0.0520] [1222/1467]
[train-201/1000] [acc-0.9993, loss-0.0002] [4439/4442]
[val-201/1000] [acc-0.8357, loss-0.0517] [1226/1467]
[train-202/1000] [acc-0.9993, loss-0.0002] [4439/4442]
[val-202/1000] [acc-0.8412, loss-0.0506] [1234/1467]
[train-203/1000] [acc-0.9998, loss-0.0001] [4441/4442]
[val-203/1000] [acc-0.8269, loss-0.0550] [1213/1467]
[train-204/1000] [acc-0.9993, loss-0.0001] [4439/4442]
[val-204/1000] [acc-0.8344, loss-0.0537] [1224/1467]
[train-205/1000] [acc-0.9995, loss-0.0002] [4440/4442]
[val-205/1000] [acc-0.8323, loss-0.0546] [1221/1467]
[train-206/1000] [acc-0.9998, loss-0.0001] [4441/4442]
[val-206/1000] [acc-0.8282, loss-0.0521] [1215/1467]
[train-207/1000] [acc-0.9995, loss-0.0001] [4440/4442]
[val-207/1000] [acc-0.8309, loss-0.0529] [1219/1467]
[train-208/1000] [acc-0.9995, loss-0.0002] [4440/4442]
[val-208/1000] [acc-0.8275, loss-0.0551] [1214/1467]
[train-209/1000] [acc-0.9995, loss-0.0001] [4440/4442]
[val-209/1000] [acc-0.8398, loss-0.0522] [1232/1467]
[train-210/1000] [acc-0.9995, loss-0.0001] [4440/4442]
[val-210/1000] [acc-0.8364, loss-0.0520] [1227/1467]
[train-211/1000] [acc-0.9993, loss-0.0002] [4439/4442]
[val-211/1000] [acc-0.8248, loss-0.0560] [1210/1467]
